#txns,ours (s),plume (s),ours (res),plume (res)
1024,0.027587,1.007563,C,C
2048,0.047988,1.492987,C,C
4096,0.078704,1.971122,C,C
8192,0.132372,3.036946,C,C
16384,0.225699,4.071282,C,C
32768,0.405737,6.697028,C,C
65536,0.748129,11.109268,C,C
131072,1.499421,23.48803,C,C
262144,3.135608,54.728488,C,C
1024,0.137539,1.9623,C,C
2048,0.201651,2.473486,C,C
4096,0.356022,4.475615,C,C
8192,0.746499,6.820099,C,C
16384,1.388686,11.763892,C,C
32768,2.784857,23.92091,C,C
65536,6.172786,63.972783,C,C
131072,13.015037,150.69889,C,C
262144,26.535262,564.577456,C,C
1024,0.122891,1.940465,C,C
2048,0.186631,2.527235,C,C
4096,0.361858,4.484887,C,C
8192,0.661192,6.911458,C,C
16384,1.252264,10.782989,C,C
32768,2.68551,21.359997,I,I
65536,5.716265,53.794604,C,C
131072,11.80903,227.159279,C,C
262144,22.888864,551.977934,C,C
1024,0.026402,0.932686,C,C
2048,0.047094,1.467729,C,C
4096,0.08172,1.896435,C,C
8192,0.133632,2.758455,C,C
16384,0.212097,4.410565,C,C
32768,0.375121,7.055532,C,C
65536,0.736188,12.631481,C,C
131072,1.488042,28.424358,C,C
262144,3.139744,88.854926,C,C
1024,0.11169,1.805074,C,C
2048,0.153882,2.701324,C,C
4096,0.316009,4.032688,C,C
8192,0.575934,6.110439,C,C
16384,1.21103,10.573208,C,C
32768,2.464112,25.081285,C,C
65536,5.15265,71.005852,C,C
131072,10.068164,240.815954,C,C
262144,20.654027,DNF,C,N/A
1024,0.094601,1.944372,C,C
2048,0.191988,2.686496,C,C
4096,0.356853,4.091074,C,C
8192,0.62553,6.640726,C,C
16384,1.280763,11.107323,C,C
32768,2.630782,22.067025,C,C
65536,5.719562,54.666932,C,C
131072,11.967696,171.831429,C,C
262144,23.496788,DNF,C,N/A
1024,0.100715,1.895553,C,C
2048,0.185197,2.839703,I,I
4096,0.350185,4.11581,C,C
8192,0.594947,6.174276,C,C
16384,1.310009,9.832753,I,N/A
32768,2.748361,18.713275,C,C
65536,5.885409,35.538856,C,C
131072,12.573103,120.843144,C,C
262144,24.849369,411.701907,C,C
1024,0.02665,0.86607,C,C
2048,0.046423,1.396476,C,C
4096,0.080491,1.847098,C,C
8192,0.136177,2.893332,C,C
16384,0.228813,4.249426,C,C
32768,0.429168,6.677551,C,C
65536,0.883358,11.510393,C,C
131072,1.981985,34.43391,C,C
262144,4.621139,90.44664,C,C
1024,0.088033,1.796654,C,C
2048,0.156528,2.479589,C,C
4096,0.289404,4.288481,C,C
8192,0.590389,5.991695,C,C
16384,1.192435,9.601215,C,C
32768,2.515528,19.407639,I,I
65536,5.362984,70.594577,C,C
131072,10.340561,148.951017,C,C
262144,21.501893,DNF,C,N/A
1024,0.025525,0.935447,C,C
2048,0.046588,1.295961,C,C
4096,0.08077,2.05305,C,C
8192,0.120261,2.634797,C,C
16384,0.221209,4.445435,C,C
32768,0.411474,6.389383,C,C
65536,0.762169,12.504248,C,C
131072,1.56582,35.045829,C,C
262144,3.285639,186.375109,C,C
1024,0.0267,0.91852,C,C
2048,0.033661,1.445356,C,C
4096,0.077505,2.109278,C,C
8192,0.120326,2.996171,C,C
16384,0.224623,4.430911,C,C
32768,0.404398,6.924541,C,C
65536,0.731749,16.520784,C,C
131072,1.50494,39.704122,C,C
262144,3.183862,236.854319,C,C
1024,0.026059,0.927147,C,C
2048,0.023875,1.440376,C,C
4096,0.077741,1.919501,C,C
8192,0.091396,2.752188,C,C
16384,0.212699,3.990636,C,C
32768,0.379903,8.435939,C,C
65536,0.686117,28.995029,C,C
131072,1.476697,156.123534,C,C
262144,3.069845,DNF,C,N/A
1024,0.02041,0.954503,C,C
2048,0.035054,1.447521,C,C
4096,0.080692,2.055264,C,C
8192,0.130085,3.29265,C,C
16384,0.229338,4.952345,C,C
32768,0.396673,12.383314,C,C
65536,0.73577,33.442975,C,C
131072,1.47343,158.994112,C,C
262144,3.164628,426.502762,C,C
1024,0.026347,0.976886,C,C
2048,0.046992,1.428649,C,C
4096,0.081112,1.812293,C,C
8192,0.135488,2.69239,C,C
16384,0.224459,4.155938,C,C
32768,0.400179,7.437359,C,C
65536,0.852447,25.694742,C,C
131072,1.957652,114.417163,C,C
262144,4.545477,599.442026,C,C
1024,0.023518,1.035113,C,C
2048,0.042116,1.430826,C,C
4096,0.073005,1.855885,C,C
8192,0.118582,2.872513,C,C
16384,0.207868,4.342905,C,C
32768,0.351548,7.426933,C,C
65536,0.693812,17.954928,C,C
131072,1.324068,67.753693,C,C
262144,2.768588,207.539477,C,C
1024,0.016514,0.858408,C,C
2048,0.042529,1.598907,C,C
4096,0.081389,1.857686,C,C
8192,0.134403,2.838773,C,C
16384,0.226115,4.44226,C,C
32768,0.428779,7.43483,C,C
65536,0.867217,13.415688,C,C
131072,1.978132,34.669806,C,C
262144,4.539595,143.631871,C,C
1024,0.022535,0.935701,C,C
2048,0.039295,1.376847,C,C
4096,0.065652,1.897565,C,C
8192,0.127184,3.070152,C,C
16384,0.206831,5.251455,C,C
32768,0.337881,12.81692,C,C
65536,0.671686,53.38355,C,C
131072,1.360236,213.440306,C,C
262144,2.805144,DNF,C,N/A
1024,0.02714,0.924949,C,C
2048,0.042319,1.423872,C,C
4096,0.061216,1.911719,C,C
8192,0.134234,2.715217,C,C
16384,0.232323,4.139143,C,C
32768,0.399337,7.647322,C,C
65536,0.891589,22.061103,C,C
131072,1.943962,91.05705,C,C
262144,4.481059,DNF,C,N/A
