database,script,txns,sessions,events,keys,ours (s),plume (s),polysi (s),dbcop (s),causalc+ (s),mono (s),ours,plume,polysi,dbcop,causalc+,mono
cockroachdb,rubis,1006,50,8376,3183,0.024703,1.107008,4.06012,0.232254,1.990727,0.188446,C,C,C,C,C,C
cockroachdb,rubis,2011,50,15807,5271,0.023684,1.473974,8.299615,7.592091,68.415924,0.617164,C,C,C,C,C,C
cockroachdb,rubis,4025,50,28966,8170,0.063754,2.137301,12.357912,211.802141,600,2.984966,C,C,C,C,N/A,C
cockroachdb,rubis,8030,50,53620,12192,0.11022,3.0388,21.801886,600,600,15.404128,C,C,C,N/A,N/A,C
cockroachdb,rubis,16049,50,101804,18788,0.219886,4.712528,68.32004,600,600,65.834095,C,C,C,N/A,N/A,C
cockroachdb,rubis,32139,50,198652,31660,0.416993,7.78579,600,600,600,378.171921,C,C,N/A,N/A,N/A,C
cockroachdb,twitter,1017,50,8634,3506,0.022684,1.03653,3.562648,0.072683,0.723981,0.167712,C,C,C,C,C,C
cockroachdb,twitter,2034,50,16044,5929,0.040256,1.354709,5.683444,1.729563,16.40575,0.467031,C,C,C,C,C,C
cockroachdb,twitter,4062,50,29111,9410,0.060786,1.974517,10.321542,98.052759,600,2.597583,C,C,C,C,N/A,C
cockroachdb,twitter,8113,50,55227,14528,0.07917,2.722014,15.262714,600,600,14.725478,C,C,C,N/A,N/A,C
cockroachdb,twitter,16232,50,107794,21879,0.169604,4.17229,48.26193,600,600,68.543451,C,C,C,N/A,N/A,C
cockroachdb,twitter,32477,50,221284,35272,0.453126,8.087012,401.824311,600,600,405.561373,C,C,C,N/A,N/A,C
cockroachdb,tpcc,1870,50,72987,28939,0.108347,2.108532,6.691671,1.218175,13.162988,0.614092,C,C,C,C,C,C
cockroachdb,tpcc,3161,50,126690,47788,0.189932,2.870556,10.832939,45.280924,449.888196,2.272766,C,C,C,C,C,C
cockroachdb,tpcc,6811,50,245401,80141,0.372645,4.395809,15.577724,600,600,12.128205,C,C,C,N/A,N/A,C
cockroachdb,tpcc,14590,50,488660,135338,0.76585,6.610779,25.521493,600,600,61.65525,C,C,C,N/A,N/A,C
cockroachdb,tpcc,28630,50,917753,228931,1.612876,12.233662,65.158812,600,600,283.012715,C,C,C,N/A,N/A,C
cockroachdb,tpcc,56148,50,1763153,398690,3.636475,25.132992,290.963841,600,600,600,C,C,C,N/A,N/A,N/A
