database,script,txns,sessions,events,keys,ops_per_txn,ours (s),plume (s),ours (res),plume (res)
rocksdb,twitter,46223,100,293522,48370,N/A,0.16666,17.3382,C,C
rocksdb,twitter,55304,100,350198,55401,N/A,0.225571,25.362072,C,C
rocksdb,twitter,64284,100,409048,62354,N/A,0.259314,27.133526,C,C
rocksdb,twitter,73571,100,472397,69603,N/A,0.297473,42.613955,C,C
rocksdb,twitter,82239,100,525681,75984,N/A,0.328538,49.319258,C,C
rocksdb,twitter,91581,100,588239,82963,N/A,0.35841,70.576776,C,C
rocksdb,twitter,100513,100,642738,88745,N/A,0.387177,92.527648,C,C
rocksdb,twitter,109388,100,703321,95754,N/A,0.416695,100.202328,C,C
rocksdb,twitter,118559,100,769036,101903,N/A,0.483999,119.844877,C,C
rocksdb,twitter,127528,100,826748,107876,N/A,0.499227,145.742573,C,C
postgres,twitter,49059,100,343722,47787,N/A,0.219939,8.970147,C,C
postgres,twitter,58813,100,418988,55249,N/A,0.257864,10.522955,C,C
postgres,twitter,68786,100,495645,62750,N/A,0.295009,11.569306,C,C
postgres,twitter,78579,100,575819,69048,N/A,0.348802,13.880532,C,C
postgres,twitter,88356,100,654410,75567,N/A,0.385075,18.594107,C,C
postgres,twitter,98249,100,738527,82256,N/A,0.444659,21.798173,C,C
postgres,twitter,108107,100,822206,89375,N/A,0.503786,25.071838,C,C
postgres,twitter,117892,100,904253,95547,N/A,0.545922,26.661624,C,C
postgres,twitter,127714,100,987150,101157,N/A,0.594037,31.105836,C,C
postgres,twitter,137595,100,1077529,107830,N/A,0.633809,40.000114,C,C
cockroachdb,twitter,49022,100,343974,47831,N/A,0.208515,9.193515,C,C
cockroachdb,twitter,58861,100,419299,55179,N/A,0.249771,14.384553,C,C
cockroachdb,twitter,68595,100,492188,61866,N/A,0.286709,14.471259,C,C
cockroachdb,twitter,78586,100,573380,68889,N/A,0.346,13.584789,C,C
cockroachdb,twitter,88483,100,656512,75973,N/A,0.382044,34.324551,C,C
cockroachdb,twitter,98063,100,729692,82232,N/A,0.442465,58.444778,C,C
cockroachdb,twitter,108403,100,818923,89511,N/A,0.507823,64.872297,C,C
cockroachdb,twitter,117894,100,904409,95737,N/A,0.548782,40.229547,C,C
cockroachdb,twitter,127595,100,986865,102041,N/A,0.586339,72.88455,C,C
cockroachdb,twitter,136996,100,1051897,108725,N/A,0.611076,70.940829,C,C
